Show,Sentiment,Review
Mare of Easttown,1,I’m not sure I have engaged in appointment viewing in years! It was nice to be giddy on a Sunday night for m’stories.
Mare of Easttown,1,Kate is marvelous; she truly is Mare. She disappears into this role!
Mare of Easttown,1,"That’s the thing I’ve loved most about Mare: the general feeling of excitement and, dare I say, fandom..."
Mare of Easttown,1,"Boasting Kate Winslet in the title role, twisty plotlines, and breakneck pacing, the series earned fans aplenty over the course of its seven-episode run."
Mare of Easttown,1,"Performances in which madness, psychopathy or extreme pathos prevails usually are the ones who are most acclaimed. However, Winslet manages to give depth and authenticity to a much more mundane, but usually more banally represented feeling: tiredness."
Mare of Easttown,1,Kate Winslet delivered one of the performances of the year. ... What made it more than a cop show was its exploration of grief and trauma.
Mare of Easttown,1,"Exploring the dark side of a community, like Broadchurch, it was not only mystifying, bewildering, and perplexing, it became addictive."
Mare of Easttown,1,"Full of drama, tragedy and unease, but with a hint of humor. [Full review in Spanish]"
Mare of Easttown,1,Anyone with a taste for HBO's knockout prestige-plus-murder combo should find out what both Mare and Easttown have to hide.
Mare of Easttown,1,"Mare of Easttown is particularly effective in interweaving troubled domestic timelines, families held together by women who are on the brink of psychic or emotional collapse."
Mare of Easttown,1,Ingelsby's unflinching study of character and Winslet's immaculate acting come together to achieve a kind of devastating perfection.
Mare of Easttown,1,"All of this rich backstory and careful character detail significantly enhances the girl-murdered-in-a-small-town TV series template, already well explored by Sharp Objects and Top of the Lake."
Mare of Easttown,1,"While the pacing of ""Mare"" is a little jarring out of the gate, it's ultimately what makes the show stand out from the rest of its ilk. It's as equally interested in the people on screen as it is in the gruesome fate that befalls one of them."
Mare of Easttown,1,"What makes it worth seeing are the little things in the margins, and the scenes that burrow into Mare's daily life and lingering grief."
Mare of Easttown,1,"If you can get past the melancholy and conventional plot, though, the series is thoroughly engaging."
Mare of Easttown,1,"""Mare"" isn't just a Winslet acting exhibition, nor is it ever in danger of becoming a hollow A-list actor offensive... It's a riveting and messy family drama that's wrapped in a chewy and thrilling murder mystery."
Mare of Easttown,1,Kate Winslet's first television series in a decade simply leaves you wondering why she hasn't done more.
Mare of Easttown,1,"It's Winslet, an actress that stands tall with the greatest ever, who triumphs in Mare of Easttown... Mare may just be one of her most memorable creations yet."
Mare of Easttown,1,"Through honesty, vulnerability, and connection with others, Winslet brings to life a character beginning the work of processing repressed trauma."
Mare of Easttown,1,"It's the perfect show for anyone who loved to bathe in the unsparing pain of shows like Broadchurch and Sharp Objects, and it will no doubt be equally awarded during this year's Emmy telecast."
Mare of Easttown,1,"Verisimilitude on its own can seem clinical; in Mare of Easttown, it is counterbalanced with a finely tuned emotional realism, as if the series' relationships had been buffed until they felt sufficiently timeworn as well."
Mare of Easttown,1,"You'll care deeply for these people and the town, and you'll be on the edge of your seat clinging to the hope that Mare can and will make a difference, setting things right for everyone."
Mare of Easttown,1,"Like any other thriller, the incredible Kate Winslet makes sure you are on the edge of the seat at the end of every single episode."
Mare of Easttown,1,The challenge facing cop television now is the challenge to depict a desire for greater accountability in a profession notoriously hostile to it. Mare of Easttown doesn't face that challenge because its protagonist is consumed by accountability.
Mare of Easttown,1,"This is part of an emerging trend of series and films reflecting the rural poverty...this time in the dead-girl-in-the-woods detective sub-genre, boosted by a hypnotically intense, Emmy-winning Kate Winslet performance."
Mare of Easttown,1,"Underneath the red herrings and unexpected twists, Mare of Easttown is a show about the threats and dangers of motherhood for Mare and for all the women of her generation in their small, working-class town."
Mare of Easttown,1,"While nobody will turn to the show for light relief, they might well turn to it for other reasons: the increasingly effective slow-burn plotting, the convincing nature of that small-town bleakness and, above all, Winslet's performance."
Mare of Easttown,1,"...a top-notch cop show, and an easy recommend for anyone who enjoys an old-school whodunit..."
Mare of Easttown,1,"Grumpy, bullish and beaten down after years of tragedy, Sheehan is one of Winslet's bleakest characters yet. She's also one of her best."
Mare of Easttown,1,"The white working class is depicted fairly, neither spitefully nor satirically. There is, in short, no Chetwyndian ""real enemy"" pulling strings behind the curtain, no groaner of a sociopolitical point being made. It's just a potboiler. Refreshing!"
Mare of Easttown,1,"""Mare of Easttown"" is a riveting and compelling series. With Winslet at the top of her game, this is a show you don't want to miss."
Mare of Easttown,1,Mare of Easttown won with the old television scheme. [Full Review in Spanish]
